State Code,Firms,Labeler codecode Product Package Size,Product code,Package size Size,Period Covered,FDA Approved drug name,Generic/Brand,Application #,Comments,Gen availability,Name of Gen,Date of Gen availability,Price issue,ANDA APP#,Units Reimbursed,No. of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-Medicaid Amount Reimbursed,,
FL,,2,7140,1,20104,REOPRO    ,,,,,,,,,20,1,217.48,217.48,0,,
FL,,2,7501,1,20104,GEMZAR    ,,,,,,,,,4556,540,605011.47,340657.22,264354.25,,
FL,,2,7502,1,20104,GEMZAR    ,,,,,,,,,565.4,351,416349.36,247067.84,169281.52,,
FL,,2,7510,1,20104,HUMALOG   ,,,,,,,,,115554.2,7180,1272614.68,1257112.71,15501.97,,
FL,,2,7510,17,20104,HUMALOG   ,,,,,,,,,453,78,5181.44,5181.44,0,,
FL,,2,7511,1,20104,HUMALOG MI,,,,,,,,,27270,1308,298896.51,294492.61,4403.9,,
FL,,2,7512,1,20104,HUMALOG MI,,,,,,,,,1510,43,16459.96,16459.96,0,,
FL,,2,7516,59,20104,HUMALOG   ,,,,,,,,,2652,183,36141.45,35653.29,488.16,,
FL,,2,7597,1,20104,ZYPREXA   ,,,,,,,,,10,1,302.1,302.1,0,,
FL,,2,7623,1,20104,ALIMTA    ,,,,,,,,,290.2,179,707818.13,443670.94,264147.19,,
FL,,2,7636,11,20104,ZYPREXA RE,,,,,,,,,8,5,6399,6399,0,,
FL,,2,7637,11,20104,ZYPREXA RE,,,,,,,,,18,15,19436.22,19436.22,0,,
FL,,2,7640,1,20104,ALIMTA    ,,,,,,,,,806.2,105,399340.75,353198.99,46141.76,,
FL,,2,8031,1,20104,GLUCAGON E,,,,,,,,,909,909,102050.26,100296.47,1753.79,,
FL,,2,8085,1,20104,GLUCAGON 1,,,,,,,,,16,4,423.38,423.38,0,,
FL,,2,8215,1,20104,HUMULIN R ,,,,,,,,,58803.086,4916,306239.79,304507.29,1732.5,,
FL,,2,8215,17,20104,HUMULIN R ,,,,,,,,,211,48,1449.63,1449.63,0,,
FL,,2,8215,91,20104,HUMULIN R ,,,,,,,,,1880,123,3882.12,3882.12,0,,
FL,,2,8315,1,20104,HUMULIN N ,,,,,,,,,52760,3365,267610.87,265270.13,2340.74,,
FL,,2,8315,17,20104,HUMULIN N ,,,,,,,,,48,12,277.38,277.38,0,,
FL,,2,8315,91,20104,HUMULIN N ,,,,,,,,,2270,133,4629.52,4622.32,7.2,,
FL,,2,8400,1,20104,FORTEO    ,,,,,,,,,211.52,92,87894.47,87894.47,0,,
FL,,2,8501,1,20104,HUMULIN R ,,,,,,,,,3540,130,50346.63,48700.89,1645.74,,
FL,,2,8715,1,20104,HUMULIN 70,,,,,,,,,102762,5241,516184.29,514776.73,1407.56,,
FL,,2,8715,91,20104,HUMULIN 70,,,,,,,,,7450,324,14773.71,14773.71,0,,
FL,,2,8725,1,20104,HUMALOG   ,,,,,,,,,207,12,2876.11,2876.11,0,,
FL,,2,8725,59,20104,HUMALOG   ,,,,,,,,,22724,1270,318498.33,313641.39,4856.94,,
FL,,2,8730,1,20104,HUMULIN N ,,,,,,,,,516,41,5434.39,4872.67,561.72,,
FL,,2,8730,59,20104,HUMULIN N ,,,,,,,,,3600,192,37563.36,36650.66,912.7,,
FL,,2,8770,1,20104,HUMULIN 70,,,,,,,,,240,14,2508.7,2508.7,0,,
FL,,2,8770,59,20104,HUMULIN 70,,,,,,,,,7117,324,74043.64,73205.52,838.12,,
FL,,2,8793,59,20104,HUMALOG MI,,,,,,,,,225,9,3161.07,3161.07,0,,
FL,,2,8794,59,20104,HUMALOG MI,,,,,,,,,9219,431,129702.48,128635.26,1067.22,,
FL,,2,8797,59,20104,HUMALOG MI,,,,,,,,,8988.5,421,126028.77,123787.79,2240.98,,
FL,,2,8798,59,20104,HUMALOG MI,,,,,,,,,1437,45,20141.96,20141.96,0,,
FL,,2,8799,59,20104,HUMALOG   ,,,,,,,,,40797,2351,575691.56,566105.71,9585.85,,
FL,,3,248,30,20104,HALOG     ,,,,,,,,,30,1,75.84,75.84,0,,
FL,,3,293,5,20104,KENALOG-40,,,,,,,,,445.492,442,34798.21,34418.21,380,,
FL,,3,293,20,20104,KENALOG-40,,,,,,,,,145,131,3028.52,2859.29,169.23,,
FL,,3,293,28,20104,KENALOG-40,,,,,,,,,946.25,912,31903.56,29758.77,2144.79,,
FL,,3,494,20,20104,KENALOG-10,,,,,,,,,1030,213,20863.15,20514,349.15,,
FL,,3,524,11,20104,SPRYCEL   ,,,,,,,,,690,12,87895.36,87895.36,0,,
FL,,3,527,11,20104,SPRYCEL   ,,,,,,,,,570,10,36466.2,36466.2,0,,
FL,,3,528,11,20104,SPRYCEL   ,,,,,,,,,630,11,79531.56,79531.56,0,,
FL,,3,830,50,20104,HYDREA    ,,,,,,,,,72,2,70.84,70.84,0,,
FL,,3,852,22,20104,SPRYCEL   ,,,,,,,,,630,21,158368.55,158368.55,0,,
FL,,3,1611,12,20104,BARACLUDE ,,,,,,,,,1335,46,34303.53,34303.53,0,,
FL,,3,1611,13,20104,BARACLUDE ,,,,,,,,,60,2,1541.44,1541.44,0,,
FL,,3,1612,12,20104,BARACLUDE ,,,,,,,,,1273,45,32714.19,32714.19,0,,
FL,,3,1968,1,20104,ZERIT     ,,,,,,,,,21420,18,7652.59,7652.59,0,,
FL,,3,2187,10,20104,ORENCIA   ,,,,,,,,,722.64,248,353645.18,143938.4,209706.78,,
FL,,3,2230,11,20104,AZACTAM-IS,,,,,,,,,3950,8,2313.71,2313.71,0,,
FL,,3,2240,11,20104,AZACTAM-IS,,,,,,,,,1900,5,2558.81,2558.81,0,,
FL,,3,2570,16,20104,AZACTAM   ,,,,,,,,,93,8,5161.94,5161.94,0,,
FL,,3,3622,12,20104,REYATAZ   ,,,,,,,,,102081,3403,3075630.1,3066771.76,8858.34,,
FL,,3,3623,12,20104,REYATAZ   ,,,,,,,,,663,16,10107.08,10107.08,0,,
FL,,3,3624,12,20104,REYATAZ   ,,,,,,,,,9961,177,151605.82,151605.82,0,,
FL,,3,3631,12,20104,REYATAZ   ,,,,,,,,,22041,375,335362.34,333606.58,1755.76,,
FL,,3,4214,11,20104,ONGLYZA   ,,,,,,,,,3901,122,24386.89,24386.89,0,,
FL,,3,4214,21,20104,ONGLYZA   ,,,,,,,,,330,11,2065.36,2065.36,0,,
FL,,3,4215,11,20104,ONGLYZA   ,,,,,,,,,28339,942,177357.76,176751.31,606.45,,
FL,,3,4215,21,20104,ONGLYZA   ,,,,,,,,,1740,54,10875.12,10875.12,0,,
FL,,3,4215,41,20104,ONGLYZA   ,,,,,,,,,30,1,187.76,187.76,0,,
FL,,3,6335,17,20104,DROXIA    ,,,,,,,,,807,19,683.61,683.61,0,,
FL,,3,6336,17,20104,DROXIA    ,,,,,,,,,270,9,238.59,238.59,0,,
FL,,3,6337,17,20104,DROXIA    ,,,,,,,,,195,7,184.55,184.55,0,,
FL,,4,38,22,20104,VALCYTE   ,,,,,,,,,11838,215,483526.98,475336.6,8190.38,,
FL,,4,39,9,20104,VALCYTE   ,,,,,,,,,27512,104,154955.78,154955.78,0,,
FL,,4,58,1,20104,KLONOPIN  ,,,,,,,,,585,8,737.21,737.21,0,,
FL,,4,68,1,20104,KLONOPIN  ,,,,,,,,,60,1,90.96,90.96,0,,
FL,,4,98,1,20104,KLONOPIN  ,,,,,,,,,30,1,5.24,5.24,0,,
FL,,4,186,82,20104,BONIVA    ,,,,,,,,,2245,2245,251532.99,249750.05,1782.94,,
FL,,4,188,9,20104,BONIVA    ,,,,,,,,,77.333,78,33296.39,8436.53,24859.86,,
FL,,4,240,9,20104,KYTRIL    ,,,,,,,,,153.4,156,9708.55,9078.44,630.11,,
FL,,4,241,26,20104,KYTRIL    ,,,,,,,,,16,8,724.48,724.48,0,,
FL,,4,242,8,20104,KYTRIL    ,,,,,,,,,80,8,97.51,16.31,81.2,,
FL,,4,244,51,20104,INVIRASE  ,,,,,,,,,16984,146,121988.41,121988.41,0,,
FL,,4,245,15,20104,INVIRASE  ,,,,,,,,,3420,13,10687.15,10687.15,0,,
FL,,4,259,1,20104,CELLCEPT  ,,,,,,,,,63052,505,149656.71,118911.87,30744.84,,
FL,,4,259,5,20104,CELLCEPT  ,,,,,,,,,2100,11,2188.46,861.94,1326.52,,
FL,,4,259,43,20104,CELLCEPT  ,,,,,,,,,12232,94,38574.79,30875.52,7699.27,,
FL,,4,260,1,20104,CELLCEPT  ,,,,,,,,,89315,930,538194,482742.18,55451.82,,
FL,,4,260,43,20104,CELLCEPT  ,,,,,,,,,11222,120,80869.76,76804.91,4064.85,,
FL,,4,261,29,20104,CELLCEPT  ,,,,,,,,,27172.5,140,98932.54,93109.89,5822.65,,
FL,,4,350,9,20104,PEGASYS   ,,,,,,,,,272,69,147145.53,147145.53,0,,
FL,,4,352,39,20104,PEGASYS   ,,,,,,,,,515,515,1114381.56,1112249.04,2132.52,,
FL,,4,380,39,20104,FUZEON    ,,,,,,,,,4200,70,179462.5,179462.5,0,,
FL,,4,800,85,20104,TAMIFLU   ,,,,,,,,,19120.934,1984,171251.51,169549.78,1701.73,,
FL,,4,801,85,20104,TAMIFLU   ,,,,,,,,,972,99,8700.08,8640.86,59.22,,
FL,,4,802,85,20104,TAMIFLU   ,,,,,,,,,872,89,7805.86,7740.72,65.14,,
FL,,4,810,95,20104,TAMIFLU   ,,,,,,,,,178206,4453,322024.27,320251.58,1772.69,,
FL,,4,1100,20,20104,XELODA    ,,,,,,,,,1284,25,9242.02,9242.02,0,,
FL,,4,1101,50,20104,XELODA    ,,,,,,,,,24073,308,556507.29,543419.59,13087.7,,
FL,,4,1962,1,20104,ROCEPHIN  ,,,,,,,,,125,53,4610.4,4610.4,0,,
FL,,4,1962,2,20104,ROCEPHIN  ,,,,,,,,,466,111,8022.69,8022.69,0,,
FL,,4,1963,1,20104,ROCEPHIN  ,,,,,,,,,478.5,352,27574.58,27536.94,37.64,,
FL,,4,1963,2,20104,ROCEPHIN  ,,,,,,,,,225,297,8830.96,8494.1,336.86,,
FL,,4,1964,1,20104,ROCEPHIN  ,,,,,,,,,582,585,73478.42,73212.86,265.56,,
FL,,4,1964,4,20104,ROCEPHIN  ,,,,,,,,,99.75,132,1208.74,1208.74,0,,
FL,,4,1964,5,20104,ROCEPHIN  ,,,,,,,,,3.25,5,30.68,30.68,0,,
FL,,4,1965,1,20104,ROCEPHIN  ,,,,,,,,,32,31,2722.02,2722.02,0,,
FL,,4,1965,5,20104,ROCEPHIN  ,,,,,,,,,1.25,5,23.6,23.6,0,,
FL,,4,6940,3,20104,CYTOVENE  ,,,,,,,,,340.318,73,22990.94,22990.94,0,,
FL,,5,5556,23,20104,CALTRATE P,,,,,,,,,30,1,4.27,4.27,0,,
FL,,5,5567,10,20104,CALTRATE 6,,,,,,,,,120,2,16.43,16.43,0,,
FL,,6,32,20,20104,STROMECTOL,,,,,,,,,1176,245,6384.74,6384.74,0,,
FL,,6,43,68,20104,MEPHYTON  ,,,,,,,,,62,3,16.63,16.63,0,,
FL,,6,65,68,20104,EDECRIN   ,,,,,,,,,30,1,75.04,75.04,0,,
FL,,6,71,31,20104,PROPECIA  ,,,,,,,,,60,2,143.32,143.32,0,,
FL,,6,112,28,20104,JANUVIA   ,,,,,,,,,210,5,1344.64,1344.64,0,,
FL,,6,112,31,20104,JANUVIA   ,,,,,,,,,22299,681,143032.5,142012.56,1019.94,,
FL,,6,112,54,20104,JANUVIA   ,,,,,,,,,2736,78,17572.72,17430.86,141.86,,
FL,,6,117,1,20104,SINGULAIR ,,,,,,,,,840,28,3519.88,3519.88,0,,
FL,,6,117,28,20104,SINGULAIR ,,,,,,,,,9957,310,37699,37338.01,360.99,,
FL,,6,117,31,20104,SINGULAIR ,,,,,,,,,629584,21086,2638157.11,2607862.24,30294.87,,
FL,,6,117,54,20104,SINGULAIR ,,,,,,,,,193676,6508,811219.06,803694.27,7524.79,,
FL,,6,117,80,20104,SINGULAIR ,,,,,,,,,90,3,377.1,377.1,0,,
FL,,6,221,28,20104,JANUVIA   ,,,,,,,,,120,4,772.64,772.64,0,,
FL,,6,221,31,20104,JANUVIA   ,,,,,,,,,3000,97,19307.21,19307.21,0,,
FL,,6,221,54,20104,JANUVIA   ,,,,,,,,,300,8,1925.92,1925.92,0,,
FL,,6,227,61,20104,ISENTRESS ,,,,,,,,,184256,3101,2891666.06,2888131.73,3534.33,,
FL,,6,267,12,20104,MAXALT    ,,,,,,,,,60,5,1415.05,1415.05,0,,
FL,,6,270,44,20104,FOSAMAX PL,,,,,,,,,12,3,270.81,270.81,0,,
FL,,6,275,1,20104,SINGULAIR ,,,,,,,,,60,2,251.42,251.42,0,,
FL,,6,275,28,20104,SINGULAIR ,,,,,,,,,2040,66,8296.86,8201.71,95.15,,
FL,,6,275,31,20104,SINGULAIR ,,,,,,,,,522469,17471,2188890.45,2145865.93,43024.52,,
FL,,6,275,54,20104,SINGULAIR ,,,,,,,,,86127,2883,360747.71,359284.17,1463.54,,
FL,,6,277,28,20104,JANUVIA   ,,,,,,,,,988,33,6361.65,6361.65,0,,
FL,,6,277,31,20104,JANUVIA   ,,,,,,,,,92552,3079,595813.21,593955.03,1858.18,,
FL,,6,277,54,20104,JANUVIA   ,,,,,,,,,11136,374,71722.33,71404.35,317.98,,
FL,,6,461,2,20104,EMEND     ,,,,,,,,,110.188,45,10829.73,10680.15,149.58,,
FL,,6,461,5,20104,EMEND     ,,,,,,,,,15,6,1553.44,1553.44,0,,
FL,,6,461,6,20104,EMEND     ,,,,,,,,,73,27,7583.91,7583.91,0,,
FL,,6,462,5,20104,EMEND     ,,,,,,,,,4,4,1190.12,1190.12,0,,
FL,,6,462,6,20104,EMEND     ,,,,,,,,,1.64,2,227.13,227.13,0,,
FL,,6,464,5,20104,EMEND     ,,,,,,,,,1,1,51.33,51.33,0,,
FL,,6,464,10,20104,EMEND     ,,,,,,,,,10,1,479.75,479.75,0,,
FL,,6,573,40,20104,CRIXIVAN  ,,,,,,,,,1080,6,2777.1,2777.1,0,,
FL,,6,573,54,20104,CRIXIVAN  ,,,,,,,,,1470,10,3785.35,3785.35,0,,
FL,,6,573,62,20104,CRIXIVAN  ,,,,,,,,,2220,14,5703.74,5703.74,0,,
FL,,6,575,61,20104,JANUMET   ,,,,,,,,,46451,831,149666.38,148988.05,678.33,,
FL,,6,575,62,20104,JANUMET   ,,,,,,,,,1470,25,4734.28,4734.28,0,,
FL,,6,575,82,20104,JANUMET   ,,,,,,,,,60,2,189.4,189.4,0,,
FL,,6,577,52,20104,JANUMET   ,,,,,,,,,180,3,579.48,579.48,0,,
FL,,6,577,61,20104,JANUMET   ,,,,,,,,,57507,985,185035.26,183982.93,1052.33,,
FL,,6,577,62,20104,JANUMET   ,,,,,,,,,2580,43,8302.16,8302.16,0,,
FL,,6,602,68,20104,CUPRIMINE ,,,,,,,,,270,3,1064.07,1064.07,0,,
FL,,6,710,44,20104,FOSAMAX PL,,,,,,,,,36,9,789.88,789.88,0,,
FL,,6,711,28,20104,SINGULAIR ,,,,,,,,,1710,57,7165.47,6776.91,388.56,,
FL,,6,711,31,20104,SINGULAIR ,,,,,,,,,427285,14320,1790120.28,1761716.31,28403.97,,
FL,,6,711,54,20104,SINGULAIR ,,,,,,,,,55031,1839,230564.62,229843.04,721.58,,
FL,,6,717,28,20104,HYZAAR    ,,,,,,,,,150,5,391.65,391.65,0,,
FL,,6,717,31,20104,HYZAAR    ,,,,,,,,,6987,226,18214.99,18186.43,28.56,,
FL,,6,717,54,20104,HYZAAR    ,,,,,,,,,2494,78,6492.84,6492.84,0,,
FL,,6,745,28,20104,HYZAAR    ,,,,,,,,,211,7,740.77,740.77,0,,
FL,,6,745,31,20104,HYZAAR    ,,,,,,,,,5317,175,18650.58,18650.58,0,,
FL,,6,745,54,20104,HYZAAR    ,,,,,,,,,810,27,2844.18,2844.18,0,,
FL,,6,747,28,20104,HYZAAR    ,,,,,,,,,330,11,1158.74,1158.74,0,,
FL,,6,747,31,20104,HYZAAR    ,,,,,,,,,12316,412,43163.35,43163.35,0,,
FL,,6,747,54,20104,HYZAAR    ,,,,,,,,,2283,74,8010.37,8010.37,0,,
FL,,6,951,28,20104,COZAAR    ,,,,,,,,,390,13,700.7,700.7,0,,
FL,,6,951,54,20104,COZAAR    ,,,,,,,,,10660,359,19170.07,19170.07,0,,
FL,,6,951,82,20104,COZAAR    ,,,,,,,,,150,6,266.15,266.15,0,,
FL,,6,952,28,20104,COZAAR    ,,,,,,,,,242,8,574.02,574.02,0,,
FL,,6,952,31,20104,COZAAR    ,,,,,,,,,19643,666,46631.19,46538.8,92.39,,
FL,,6,952,54,20104,COZAAR    ,,,,,,,,,9479,319,22501.76,22501.76,0,,
FL,,6,952,82,20104,COZAAR    ,,,,,,,,,393,14,937.8,937.8,0,,
FL,,6,960,1,20104,COZAAR    ,,,,,,,,,30,1,85.6,85.6,0,,
FL,,6,960,28,20104,COZAAR    ,,,,,,,,,782,25,2396.87,2396.87,0,,
FL,,6,960,31,20104,COZAAR    ,,,,,,,,,21157,698,67316.45,67316.45,0,,
FL,,6,960,54,20104,COZAAR    ,,,,,,,,,9257,303,29453.07,29453.07,0,,
FL,,6,960,82,20104,COZAAR    ,,,,,,,,,30,1,95.62,95.62,0,,
FL,,6,3298,22,20104,COSMEGEN  ,,,,,,,,,1,1,297.53,297.53,0,,
FL,,6,3357,53,20104,MEFOXIN   ,,,,,,,,,5,5,442.4,442.4,0,,
FL,,6,3514,58,20104,PRIMAXIN  ,,,,,,,,,92,28,1312.31,823.77,488.54,,
FL,,6,3516,59,20104,PRIMAXIN  ,,,,,,,,,1475,137,47751.82,47419.99,331.83,,
FL,,6,3519,36,20104,TRUSOPT   ,,,,,,,,,10,1,67.43,67.43,0,,
FL,,6,3539,4,20104,PEPCID    ,,,,,,,,,4,1,91.64,91.64,0,,
FL,,6,3547,25,20104,MEFOXIN   ,,,,,,,,,150,3,271.68,271.68,0,,
FL,,6,3552,59,20104,PRIMAXIN  ,,,,,,,,,362,31,12438.8,12438.8,0,,
FL,,6,3628,36,20104,COSOPT    ,,,,,,,,,60,6,723.72,723.72,0,,
FL,,6,3800,12,20104,MAXALT MLT,,,,,,,,,12,1,283.02,283.02,0,,
FL,,6,3801,12,20104,MAXALT MLT,,,,,,,,,9,1,213.2,213.2,0,,
FL,,6,3822,10,20104,CANCIDAS  ,,,,,,,,,180.2,38,60262.73,59706.41,556.32,,
FL,,6,3823,10,20104,CANCIDAS  ,,,,,,,,,10,1,15.26,15.26,0,,
FL,,6,3833,1,20104,FOSAMAX   ,,,,,,,,,900,3,280.74,280.74,0,,
FL,,6,3833,34,20104,FOSAMAX   ,,,,,,,,,7200,21,1965.18,1965.18,0,,
FL,,6,3841,30,20104,SINGULAIR ,,,,,,,,,124261,4175,520850.35,514679.03,6171.32,,
FL,,6,3843,71,20104,INVANZ    ,,,,,,,,,1315,549,82298.83,82298.83,0,,
FL,,6,3845,71,20104,INVANZ    ,,,,,,,,,9.5,10,1006.16,1006.16,0,,
FL,,6,3862,3,20104,EMEND     ,,,,,,,,,816,238,93807.24,92897.83,909.41,,
FL,,6,3884,32,20104,EMEND     ,,,,,,,,,82.307,90,17310.34,17007.94,302.4,,
FL,,6,9690,60,20104,TIMOPTIC O,,,,,,,,,60,1,253.64,253.64,0,,
FL,,7,3151,13,20104,AVANDARYL ,,,,,,,,,120,3,534.99,534.99,0,,
FL,,7,3152,13,20104,AVANDARYL ,,,,,,,,,840,23,3752.39,3752.39,0,,
FL,,7,3153,13,20104,AVANDARYL ,,,,,,,,,1071,24,4764.44,4764.44,0,,
FL,,7,3163,18,20104,AVANDAMET ,,,,,,,,,1592,28,3771.34,3771.34,0,,
FL,,7,3164,18,20104,AVANDAMET ,,,,,,,,,8358,146,33146.68,32394.32,752.36,,
FL,,7,3167,18,20104,AVANDAMET ,,,,,,,,,7068,102,16660.43,16660.43,0,,
FL,,7,3168,18,20104,AVANDAMET ,,,,,,,,,4220,78,16758.79,16758.79,0,,
FL,,7,3230,1,20104,ARIXTRA   ,,,,,,,,,33,4,1912.69,1912.69,0,,
FL,,7,3230,2,20104,ARIXTRA   ,,,,,,,,,104,8,5588.29,5588.29,0,,
FL,,7,3230,11,20104,ARIXTRA   ,,,,,,,,,1243.4,166,64500.13,62016.35,2483.78,,
FL,,7,3232,1,20104,ARIXTRA   ,,,,,,,,,88,3,10524.79,10524.79,0,,
FL,,7,3232,2,20104,ARIXTRA   ,,,,,,,,,78,5,9803.75,9803.75,0,,
FL,,7,3232,11,20104,ARIXTRA   ,,,,,,,,,545.5,30,64882.22,64832.09,50.13,,
FL,,7,3234,1,20104,ARIXTRA   ,,,,,,,,,71,4,8886.68,8811.49,75.19,,
FL,,7,3234,2,20104,ARIXTRA   ,,,,,,,,,88,9,11241.52,11241.52,0,,
FL,,7,3234,11,20104,ARIXTRA   ,,,,,,,,,1771.533,179,210335.25,206441.18,3894.07,,
FL,,7,3236,1,20104,ARIXTRA   ,,,,,,,,,92,4,11556.32,11556.32,0,,
FL,,7,3236,2,20104,ARIXTRA   ,,,,,,,,,166,11,21030.03,21030.03,0,,
