NDC Labeler Code,Firm Name
206,"Wyeth Piperacillin Division of Wyeth Holdings Corporation, a subsidiary of Pfizer Inc."
216,The United States Pharmacopeial Convention
219,"Humphreys Pharmacal, Incorporated"
220,Laboratoires Boiron
224,"Konsyl Pharmaceuticals, Inc."
225,BF ASCHER AND CO INC
228,Actavis Elizabeth LLC
234,"Molnlycke Health Care US, LLC"
245,"Upsher-Smith Laboratories, Inc."
254,Vintage Pharmaceuticals
256,"Fleming & Company, Pharmaceuticals"
258,"Forest Laboratories, Inc."
259,"Merz Pharmaceuticals, LLC"
264,B. Braun Medical Inc.
268,"ALK-Abello, Inc."
270,BRACCO DIAGNOSTICS INC.
273,"Young Dental Manufacturing CO I, LLC"
277,"Laser, LLC d/b/a Laser Pharmaceuticals, LLC"
280,Bayer Corporation Consumer Care Division
281,Savage Laboratories a division of Fougera Pharmaceuticals Inc.
283,"Beutlich LP, Pharmaceuticals"
288,Fluoritab Corporation
295,"Denison Pharmaceuticals, Inc."
298,"Vortech Pharmaceuticals, Ltd."
299,"Galderma Laboratories, L.P."
300,TAP Pharmaceutical Products Inc.
310,AstraZeneca Pharmaceuticals LP
311,"Almay, Inc."
316,Crown Laboratories
322,"Merrick Medicine Company, Inc"
338,Baxter Healthcare Corporation
339,CAREMARK LLC
360,STANDARD HOMEOPATHIC COMPANY
362,"Septodont, Inc."
363,Walgreen Company
372,"SCOT-TUSSIN Pharmacal Co., Inc."
374,"Lyne Laboratories, Inc."
378,"Mylan Pharmaceuticals, Inc."
389,The Torrance Company
395,"Humco Holding Group, Inc"
404,Henry Schein Inc.
406,MALLINCKRODT INC (PHARMACEUTICALS GROUP)
407,GE Healthcare Inc.
408,Standard Homeopathic Company dba Homeopathic Laboratories Pa and Treatment Options
409,"Hospira, Inc."
414,Suppositoria Labs Perrigo Pharmaceuticals Company
420,Novo Nordisk A/S
430,"Warner Chilcott (US), LLC"
436,"Century Pharmaceuticals, Inc."
440,"Liberty Pharmaceuticals, Inc."
441,Sigma-Aldrich Corporation
456,"Forest Laboratories, Inc."
462,PharmaDerm a division of Fougera Pharmaceuticals Inc.
463,"C.O. Truxton, Inc."
469,"Astellas Pharma US, Inc."
472,Actavis Mid Atlantic LLC
480,Teva Pharmaceutical Industries Ltd.
482,Fougera Pharmaceuticals Inc.
485,"EDWARDS PHARMACEUTICALS, INC."
486,Beach Pharmaceuticals
487,Nephron Pharmaceuticals Corporation
496,"Ferndale Laboratories, Inc."
498,North Safety Products LLC
5133,Neighborcare
517,"American Regent, Inc."
519,STERIS Corporation
525,"Pamlab, L.L.C."
527,"Lannett Company, Inc."
535,"Forest Laboratories, Inc."
536,Rugby Laboratories
548,"Amphastar Pharmaceuticals, Inc."
555,Barr Laboratories Inc.
562,"Kedrion Melville, Inc."
573,Pfizer Consumer Healthcare
574,"Paddock Laboratories, LLC."
575,"Teva Branded Pharmaceutical Products R&D, Inc."
590,"Bristol-Myers Squibb Holding Pharma, Ltd. Liability Company"
591,"Watson Laboratories, Inc."
597,"Boehringer Ingelheim Pharmaceuticals, Inc."
603,Qualitest Pharmaceuticals
613,WALKER LABORATORIES
615,Vangard Labs
616,DESMET CORPORATION
617,WALKER PHARMACEUTICAL CO.
618,LUYTIES PHARM. CO.
619,WALKER PHARMACAL CO.
621,"WISE'S KC HOMEOPATHIC PHARMACY, INC."
622,PHARMACAL SPEC. MFG. CO.
623,"ALLAN PHARMACEUTICAL COMPANY, INC."
624,BUSH LABORATORIES
625,"BOTANICAL CHEMICAL, INC."
626,SAINT LOUIS PHYSICIAN SUPPLY
627,KEOKUK MEDICINE COMPANY
628,NATIONAL HOSPITAL SUPPLY COMPANY
629,HALITOSIN COMPANY
631,DONNA LO LABORATORIES
632,KOLLESOL COMPANY
633,INLAND ALKALOID COMPANY
634,"NU AGE LABORATORIES, INC."
635,NU ERA LABORATORIES
636,NATURES BEST VITAMINS
641,West-ward Pharmaceutical Corp.
642,"Everett Laboratories, Inc."
677,"United Research Laboratories, Inc."
682,"Marnel Pharmaceuticals, Inc."
699,DS Healthcare
703,"Teva Parenteral Medicines, Inc."
713,"G&W Laboratories, Inc."
722,"Nexgen Pharma, Inc."
756,Mallinckrodt Inc. - D M Graham Laboratories Div.
761,"Basic Drugs, Inc"
777,Dista Products Company
781,Sandoz Inc
785,"Forest Laboratories, Inc."
792,"Siegfried (USA), Inc."
799,Calmoseptine Inc.
807,"Schwabe North America, Inc."
813,"Pharmics, Inc."
832,"Upsher-Smith Laboratories, Inc."
856,"Fort Dodge Animal Health, Division of Wyeth"
859,Bayer HealthCare LLC Animal Health
869,Vi-Jon
884,"Pedinol Pharmacal, Inc."
904,Major Pharmaceuticals
924,ACME United
927,"Pfeiffer Pharmaceuticals, Inc."
941,Baxter Healthcare Corporation
942,"Fenwal, Inc."
944,Baxter Healthcare Corporation
955,Winthrop U.S. (a business of sanofi-aventis U.S. LLC)
986,Elanco Animal Health Co
998,"Alcon Laboratories, Inc."
10006,Acetylene Oxygen Company
10014,Aero All Gas Company
10018,"Air Products and Chemicals, Inc."
10019,Baxter Healthcare Corporation
10022,Saraca Laboratories Limited
10025,Penn Labs
10031,"Elba, Inc."
10037,Nutri-Vet LLC
10056,Access Business Group LLC
10066,"Medical Components, Inc."
10073,ozarc gas equipment supply inc
10078,Kay's Designs International Limited
10096,"Avon Products, Inc."
10100,Canus Vermont LLC
10106,"Avantor Performance Materials, Inc."
10109,ACS Medical LLC
10116,"Bartor Pharmacal Co., Inc."
10117,BASF Corporation
10119,Bausch & Lomb Incorporated
10122,Cornerstone Therapeutics Inc.
10130,Ben Venue Laboratories Inc.
10135,Marlex Pharmaceuticals Inc
10139,GeneraMedix Inc.
10144,"Acorda Therapeutics, Inc."
10147,"Patriot Pharmaceuticals, LLC"
10149,"Provident Pharmaceuticals, LLC"
10157,Blistex Inc
10158,GlaxoSmithKline Consumer Healthcare LP
10163,Quality Home Medical Inc.
10167,"Air Source Industries, Inc"
10184,"Metrics, Inc."
10188,Ansell Healthcare Products L.L.C.
10189,Butler Gas Products Company
10191,"Ethical Nutritional, LLC"
10196,"Jiangsu Nhwa Pharmaceutical Co., Ltd."
10202,7ÔÂ11ÈÕ
10210,"Carma Labs, Inc."
10216,Dentsply Caulk
10221,Central McGowan Inc.
10223,"Cetylite Industries, Inc."
10228,Chase Products Co.
10237,"Church & Dwight Co., Inc."
10239,Central Glass Germany GmbH
10249,Airsea (Taizhou) Pharmaceutical Ltd.
10252,"Coastal Welding Supply, Inc."
10258,COLONIAL DAMES CO LTD
10261,"Fujimoto Chemicals Co., Ltd."
10267,Contract Pharmacal Corporation
10276,Cosmaceutical Research Lab Inc.
10279,Korres S.A. - Natural Products
10295,MF Productions Saumur
10297,"A OX Welding Supply Company, Inc."
10304,Delille Oxygen Company
10337,PharmaDerm a division of Fougera Pharmaceuticals Inc.
10345,LABORATOIRES M&L
10348,Smashbox Beauty Cosmetics Inc.
10356,Beiersdorf Inc
10357,Novacyl
10358,"AIRSENSE, INC"
10363,"Matheson Tri-Gas, Inc. dba ETOX"
10370,"Par Pharmaceuticals, Inc."
10380,Deb Worldwide Healthcare Inc.
10402,Antibi¨®ticos do Brasil Ltda.
10407,"Xiangfan Goto Chemical Co., Ltd."
10412,Flint Welding Supply Company
10418,"Forest Laboratories, Inc."
10424,Syntrion GmbH
10451,General Distributing Company
10452,Nestle Purina Petcare Company
10453,"Sunrise Medicine Supply, Inc. dba American Medical Oxygen"
10454,"Solstice Neurosciences, LLC"
10458,H and L Industrial
10477,Goodier Cosmetics LP
10479,"OMG Americas, Inc."
10481,Gordon Laboratories
10482,R. N. Goss Gas Products Company
10486,Grandpa Brands Company
10491,PIONEER LABORATORIES INDIA PVT LTD
10492,Greco Gas Inc.
10511,Photocure Inc.
10515,GC Hanford Manufacturing Company
10526,"Haun Welding Supply, Inc._DBA Haun Companies"
10542,Hillestad Pharmaceuticals USA
10544,"Blenheim Pharmacal, Inc."
10546,"Hobart Laboratories, Inc."
10558,Taro Pharmaceuticals Ireland Limited
10565,Hydrox Laboratories
10572,"Affordable Pharmaceuticals, LLC"
10577,VLG CHEM PCAS
10578,Indiana Botanic Gardens
10579,"HAIYANG XINYI Towelette CO., LTD."
10586,"Core Brands, Inc."
10590,"Jackson Welding Supply Company, Inc"
10596,Kao USA Inc.
10597,"Nobel Laboratories, LLC"
10599,"Intersect ENT, INC."
10609,KV Pharmaceutical Inc.
10613,Hospice Management Partners
10631,Ranbaxy Laboratories Inc
10637,"Kolmar Laboratories, Inc."
10641,Lake Welding Supply Company
10655,Benton Therapeutics
10667,Syngen Pharmaceuticals Co Ltd
10671,Air Liquide America LP
10675,"America's Healthcare At Home, Inc."
10676,"Nanjing Hengrun Hongsu Trading Co., Ltd"
10678,"Airgas-West, Inc."
10685,Carroll Company
10690,Depke Gases & Welding Supplies
10698,Mabscott Supply Company
10702,"KVK-TECH, INC."
10705,"Majestic Drug Co., Inc."
10725,Red River Welding Supply Co. dba McGinnis Welding Supply Co
10733,"Medical Products Laboratories, Inc."
10736,"Medical Technical Gases, Inc"
10738,Genuine Virgin Aloe Corporation
10742,The Mentholatum Company
10765,ChemAgis Germany GMBH
10768,Perrigo Pharmaceuticals Company
10772,Okasa Private Limited
10782,vitaMedMD
10797,"Luitpold Pharmaceuticals, Inc."
10802,Rosedale Therapeutics
10809,Solumetrics Ltd.
10812,Neutrogena Corporation
10816,"SHELBY PROFESSIONAL, INC."
10819,"Professional Disposables International, Inc."
10825,Northern Welding Supply
10827,"Yusef Manufacturing Laboratories, LLC"
10828,Smruthi Organics Limited
10829,Pfizer Italia S.r.l
10835,Pharmaceutical Company Jelfa S.A.
10836,Advanced Minerals Corp
10842,"DOCTOR HOY'S, LLC"
10849,Armand Dupree Inc.
10855,Pac-Kit Safety Equipment Co.
10864,"Airgas - West, Inc."
10867,"Mitchell Home Medical, Inc."
10873,"Penn Herb Company, Ltd."
10882,JAR Laboratories
10884,Bright Future Pharmaceuticals Factory
10885,Galen US Incorporated
10886,PTI Union LLC
10888,Banner Pharmacaps Inc.
10889,VVF Kansas Services
10893,"Nature's Innovation, Inc."
10903,Adani Pharmachem Private Limited
10910,XI AN HUAYAO PHARM-CHEM INSTITUTE
10913,Prest-O-Sales & Service Inc
10920,Arevipharma GmbH
10922,Intendis Inc
10927,"Purity Cylinder Gases, Inc."
10942,Raimy Corporation
10956,Reese Pharmaceutical Co.
10961,"W. F. Young, Inc."
10962,K & N Distributors Inc
10967,Revlon Consumer Products Corp
11002,"Chongqing Pharmaceutical Research Institute Co., Ltd."
11004,"Rainbow Specialty & Health Products, Inc."
11014,"Catalent Pharma Solutions, LLC"
11023,"Corp Brothers, Incorporated"
11026,Seyer Pharmatec inc
11045,"Skin Elements USA, LLC"
11054,"AIRGAS USA, LLC"
11056,South Jersey Welding Supply
11071,"Eisai Co., Ltd."
11084,"Deb USA, Inc."
11086,Summers Laboratories Incorporated
11087,"SMI Services, Inc."
11090,Beauty Manufacturing Solutions Corp.
11096,"Tarmac Products, Inc."
11103,"Temple Welding Supply, Inc."
11110,Alegent Health
11118,Bradford Soap Works
11227,Adolor Corporation
11291,Dr. G. H. Tichenor's Antiseptic Company
11311,Biovet Joint Stock Company
11312,"Truett Laboratories, Inc."
11324,"Praxair, Inc. Puerto Rico B.V."
11326,University of Iowa Pharmaceuticals
11331,Valley Welders Supply
11344,Vi-Jon
11370,Warner Lambert Company LLC
11377,"Watkins, Inc."
11383,"Weeks & Leo Co., Inc."
11390,"Airgas Southwest, Inc."
11399,"GTx, Inc."
11401,"Hawaii Home Infusion Associates, Ltd"
11410,Guthy-Renker LLC.
11419,"SheSham, Inc. T/A Wilson Supply"
11424,"PMC Biogenix, Inc."
11429,Woodbine Products Company
11433,Shanghai Soap Co. Ltd
11444,"W. F. Young, Inc."
11446,Wong's Pharamaceutical International Limited
11489,BCM Ltd
1149,"Pharmtech International, Div of Dynamite Marketing Inc"
11495,ExxonMobil Chemical Company
11509,Combe Incorporated
11517,3M Health Care LTD
11523,"MSD Consumer Care, Inc."
11526,Rhodia Inc
11527,Faria LLC dba Sheffield Pharmaceuticals
11528,"Centrix Pharmaceutical, Inc."
11532,Takeda Pharmaceutical Company LTD
11534,Sunrise Pharmaceutical Inc.
11535,"The Fuller Brush Company, Inc."
11536,Wellmark International
11559,Estee Lauder Inc.
11564,Fresno Oxygen and Welding Suppliers
11584,"International Ethical Laboratories, Inc."
11608,Galaxy Surfactants Limited
11673,Target Corporation
11695,Butler Animal Health Supply
11697,"Aloe Vera of America, Inc."
11701,"Coloplast Manufacturing US, LLC"
11704,"Meridian Medical Technologies , Inc."
11712,DELMAR CHEMICALS INC
11715,PQ Corporation - Corporate
11716,"HANLIM PHARM. CO., LTD."
11722,Pliva Hrvatska d.o.o.
11727,Dermedics Laboratories
11737,Particle Dynamics Incorporated
11748,"P and J Oxyfill, LLC"
11763,Perry Medical
11770,Dow Corning Corporation
11789,"LLOYD, Inc. of Iowa"
11792,Pliva Hrvatska d.o.o.
11793,Sanofi Pasteur LTD
11819,DHHS/Program Support Center/Supply Service Center
11822,Rite Aid Corporation
11853,Air Liquide Large Industries U.S. LP
11878,Mowbray Co. Inc.
11896,AIRGAS NATIONAL WELDERS
11914,Aurena Laboratories AB
11917,Air Liquide Industrial U.S. LP
11928,"Mada Medical Products, Inc."
11951,General Chemical LLC
11960,Cramer Sports
11980,"Allergan, Inc."
11994,"Lantheus Medical Imaging, Inc."
11999,Welders Supply Company
12017,"Mark Anderson and Associates, Incorporated"
12022,J. Strickland & Co.
12027,"Markwins Beauty Products, Inc"
12064,The Wellcome Foundation Limited
12070,Dolder AG
12079,"Daiichi Fine Chemical Co., Ltd."
12090,"Summit Industries, Inc."
12094,Hayward Laboratories
12120,Crystal Claire Cosmetics Inc.
12121,"Badger Welding Supplies, Inc"
12164,Halocarbon Products Corp.
12165,"GF Health Products, Inc."
12213,"NexAir, LLC"
12258,S.S.S. Company
12286,"ADM Alliance Nutrition, Inc."
12294,"Kongo Chemical Co., Ltd."
1234,Reed Technology and Information Services Inc.
12344,"JIANGSU YONGDA PHARMACEUTICAL CO., LTD"
12462,"Chester Packaging, LLC"
12477,SGS Northview Laboratories
12487,Osborn
12488,Alberto-Culver USA Inc.
12496,"Reckitt Benckiser Pharmaceuticals, Inc."
12497,"Kyowa Hakko Bio Co., Ltd."
12502,Cilag AG
12516,Aventis Pharma Ltd.
12522,Sanofi-Aventis S.p.A
12526,DANISCO A/S
12527,Bayer Schering Pharma AG
12538,"Iwaki Seiyaku Co.,Ltd."
12543,"Meiji Seika Pharma Co., Ltd."
12546,Mondel¨¥z Global LLC
12562,PHARMA WALDHOF GMBH
12578,"Janssen Pharmaceutica, NV"
12579,Sanofi Winthrop Industries
12580,Xellia Pharmaceuticals AS
12598,PharmaZell GmbH
12613,Abbott GmbH & Co Kg
12634,Apotheca Inc.
12651,Cambrex Karlskoga AB
12657,Schutz & Co. (GmbH & Co.KG)
12658,Pharmaceutical Works POLPHARMA S.A.
12660,"Societa Italiana Medicinali Scandicci, SrL"
12665,Abic Ltd.
12666,"Zhejiang Apeloa Jiayuan Pharmaceutical Co., Ltd."
12693,COMMONWEALTH SUPPLY COMPANY
12701,DSM Anti-Infectives BV
12707,Macfarlan Smith Limited
12711,Recordati Industria Chimica e Farmaceutica SpA
12714,Boehringer Ingelheim Pharma GmbH and Co. KG
12719,Productos Roche S.A. de C.V.
12721,LAXMI INDUSTRIAL CORPORATION
12745,Medical Chemical Corporation
12776,CF Pharma Ltd.
12780,Fermion Oy
12784,"SPI Pharma, Inc."
12785,"Yuki Gosei Kogyo Co., Ltd."
12790,Mehta Pharmaceuticals Pvt Ltd.
12806,F. Hoffmann-La Roche Ltd
12817,Regis Technologies Inc
12822,QPharma AB
12823,Tyco Healthcare Group LP
12826,DIASPA trade mark of STRIDES ITALIA s.r.l
12828,Cambrex Profarmaco Milano Srl
12829,Conair Corporation
12830,R.A. McNeil Company
12836,Ercros SA
12838,Astellas Pharma Inc.
12839,"Yoneyama Yakuhin Kogyo Co.,Ltd."
12848,"Asahi Kasei Finechem Co., Ltd."
12854,sanofi-aventis Deutschland GmbH
12860,N V Organon
12862,Septodont SAS
12866,Bayer Schering Pharma AG
12870,Arzol Chemical Company
12871,Roche Diagnostics GmbH
12875,"Productos Quimicos Naturales, S.A. de C.V. [PROQUINA]"
12877,Nordion (Canada) Inc.
12884,"Paxico, LLC"
12888,Advanced Medical Optics Uppsala AB
12943,SCORA SA
12948,Arbor Pharmaceuticals
12961,Brisas del Caribe Corp.
12994,Animal Medic Inc.
13032,Apotek Produktion & Laboratorier AB
13105,"I-Med Pharma, Inc."
13107,Aurolife Pharma LLC
13108,"Spectron mrc, LLC"
13136,"fiteBac SkinCare, LLC"
13267,THE FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH
13299,"R-Tech Ueno, Ltd."
13302,Romaine Companies
13310,AR Scientific Inc.
13317,"Yidu Huayang Chemical Co., Ltd."
13327,"NORTH CHINA PHARMACEUTICAL GOODSTAR CO., LTD."
13330,Ursapharm GmbH & Co Kg
13340,Phytoneering Extract Solutions GmbH
13371,"MINSHENG GROUP SHAOXING PHARMACEUTICAL CO., LTD."
13411,"Advanced Pharmaceutical Services, Inc. Dba Affordable Quality Pharmaceuticals"
13447,"Changzhou Wujin Feida Chemical Co., Ltd."
13461,Century Pharmaceuticals Limited
13467,Prairie Winds DME LLC
13478,Stiefel Laboratories Inc
13533,Talecris Biotherapeutics Inc.
13537,Ventura Corporation LTD
13538,Euticals SpA - Rozzano Manufacturing Site
13548,Coria Laboratories
13551,"FSC Laboratories, Inc"
13564,"Fragrance Manufacturing, Inc."
13612,"Wisdom Pharmaceutical Co., Ltd."
13630,"Prime Packaging, Inc"
13632,Rosemont Pharmaceuticals Ltd
13633,Mountaineer Home Medical LLC
13636,Amishi Drugs and Chemicals Limited
13668,Torrent Pharmaceuticals Limited
13709,"NeilMed Pharmaceuticals, Inc."
13719,"NetQem, LLC"
13733,"ABLE C&C Co., Ltd."
13734,Nars Cosmetics
13741,"Boujuior (Shanghai) Cosmetics Co., Ltd."
13744,Ceva Sante Animale
13746,Srikem laboratories Pvt. Ltd.
13790,Biovail Technologies Ltd.
13808,Fresenius Kabi Oncology Limited
13811,"TRIGEN Laboratories, Inc."
13826,Four Corners Welding and Gas Supply
13840,"Nanyang Pukang Pharmaceutical Co., Ltd."
13845,Purdue GMP Center LLC dba The Chao Center
13893,"Quartz Specialty Pharmaceuticals, LLC"
13903,"Shanghai No. 1 Biochemical and Pharmaceutical Co., Ltd."
13906,FG Nutraceutical Inc.
13913,"Depomed, Inc."
13924,NUSIL TECHNOLOGY LLC
13925,Seton Pharmaceuticals
13936,"YIXING CITY XINGYU MEDICINE CHEMICALS CO., LTD."
13975,"Kent Nutrition Group, Inc"
13985,MWI/VetOne
14034,Vignesh Life Sciences PVT. LTD
14043,Patterson Veterinary
14049,RXV
14051,"Top Chemical Co., Inc."
14060,"CAO Group, Inc."
14077,"Cleveland Home Respiratory Care, Inc."
14096,Apicore LLC
14136,Oman Pharmaceutical Products Co. LLC
14138,Yobel Supply Chain Management S.A. de C.V.
14141,Bel Star S.A.
14171,Grassroots Life
14177,AgriPharm Products
14202,Pharmpur GmbH
14208,"California Tool and Welding Supply, LLC"
14209,"Original 7, Inc."
14214,"Leading Respiratory Services, Inc"
14222,"Rodan + Fields, LLC"
14268,"Englewood Lab, LLC"
14288,Boehringer Ingelheim Roxane Inc
14290,"Triax Pharmaceuticals, LLC"
14319,Dah Wei Chem & Pharm Co. Ltd.
14335,"Hainan Poly Pharm. Co., Ltd"
14350,IntelGenx Corp
14362,MassBiologics
14403,"Hybio Pharmaceutical Co., Ltd."
14445,Indoco Remedies Limited
14474,Sai Life Sciences Limited
14501,MSN Laboratories Limited
14505,Pharmalab Enterprises Inc.
14508,"Sun Pharmaceutical Industries, Inc."
14513,Elder Health Care Ltd.
14521,"Taishan City Chemical Pharmaceutical Co., Ltd."
14534,"JQC (Huayin) Pharmaceutical Co., Ltd."
14537,"CaridianBCT, Northern Ireland, Ltd (DBA Ivex Pharmaceuticals)"
14539,Emcure Pharmaceuticals USA Inc.
14550,Actavis Pharma Manufacturing Pvt Ltd. (SOD)
14593,Emcure Pharmaceuticals Limited
14603,ORGAPHARM
14604,"Isle of Capri Black Hawk, L.l.c."
14639,Merck KGaA
14645,Sanofi Pasteur SA
14698,Super Psyllium
14720,"Tai Tong Ah Co., Pte Ltd."
14743,"Tahitian Noni International, Inc."
14760,"Dasan Medichem Co., Ltd."
14778,"Hubei Haosun Pharmaceutical Co., Ltd."
14783,Ventura International LTD
14785,Mentholatum (China) Pharmaceuticals Co Ltd
14789,"Nexus Pharmaceuticals, Inc"
14799,"Zhejiang Supor Pharmaceuticals Co., Ltd"
14890,Euticals SpA - Varese Manufacturing Site
14909,"Tropical Products, Inc"
14937,"Ningbo Dahongying Pharmaceutical Co., Ltd."
14961,"Haun Specialty Gases, Inc._DBA Haun Companies"
14979,Laboratories STEROP
14998,Alchymars ICM SM Private Limited
1500,JOHNSON AND JOHNSON LIMITED
15054,"Ipsen Biopharmaceuticals, Inc."
15062,Texas Welders Supply Company
15071,Touchless Care Concepts LLC
15082,"Advanced Pharma, Inc."
15127,"Stephen L. LaFrance Pharmacy, Inc."
15186,JAI RADHE SALES
15187,IriSys Inc
15197,W STERNOFF LLC
15231,COMERCIALIZADORA JIQUILPAN SA DECV
15240,Community Oxygen Service Inc.
15243,OLIC (Thailand) Limited
15246,"Newbridge Surgical Supplies, Inc."
15304,Chia Gi LTD
15308,Aarti Industries Ltd
15310,"Creekwood Pharmaceutical, Inc."
15331,PHARMAQ AS
15338,Apace Packaging LLC
15350,SHANGHAI RECORD PHARMACEUTICALS CO LTD
15370,"CARWIN ASSOCIATES, INC."
15377,Origin Biomed Inc.
15383,"Althea Technologies, Inc."
15408,"Westair Gas & Equipment, LLC"
15440,"Zhejiang Excel Pharmaceutical Company., Ltd."
15452,"ZHEJIANG TOP MEDICINE CO., LTD"
15455,"Alvix Laboratories, LLC"
15456,"Esprit Pharma, Inc."
15464,"Pro Skin Solutions, Inc."
15478,Topical Pharmaceuticals Inc.
15499,First Choice Medical Equipment Inc.
15533,American Hygienics Corporation
15540,"TG United, Inc."
15551,Soo Hoo Customs Broker
15563,Empaques de Colombia Empacando
15565,"Fleming Laboratories, Inc."
15572,Intercos Europe S.p.A.
15579,"Bell Pharmaceuticals, Inc."
15584,"Bristol Myers Squibb & Gilead Sciences, LLC"
15613,Umicore Nederland BV
15657,"Suzhou City Jinmao Daily Chemicals Co., Ltd"
15663,"Hangzhou Heta Pharm & Chem Co.,Ltd."
15687,Big Branch Breeders Service
15725,Gilead Sciences LTD
15749,"American Antibiotics, Inc"
15751,Eminence Organic Skin Care
15753,SCENIA Kft
15775,Suchem Laboratories
15821,Focus Laboratories
15828,Zermat Internacional S.A. de C.V.
15862,PTI Royston LLC
15866,"Nantong Haiers Pharmaceutical Co., Ltd."
15894,Teva API India Limited
15955,Orit Laboratories LLC
16038,West Penetone Inc
16103,"Pharbest Pharmaceuticals, Inc."
16110,"Aqua Pharmaceuticals, LLC."
16129,"Shertech Laboratories, LLC"
16133,Heel Belgium NV
16175,Calmar dba A&R Medical Supply
16242,"Taurus Salt, Inc."
16244,LDSE International LLC
16252,Cobalt Laboratories
16253,Auctus Pharma Limited
16262,Aesica Pharmaceuticals GmbH
16355,Sri Krishna Drugs Ltd.
16357,Avantor Performance Materials B.V.
16364,Intas Pharmaceuticals Limited
16371,Provita Eurotech Ltd.
16408,Georgia Respiratory Home Care & Medical Equipment LLC
16435,CCI Productions Parfums & Cosmetiques
16436,Medichem Manufacturing (Malta) Ltd.
16468,"Ragactives, S.L.U."
16477,Laser Pharmaceuticals LLC
16528,Zibo Xinhua Perrigo
16555,DARPHIN DIST.
16571,"Pack Pharmaceuticals, LLC"
16577,"Athman Dairy, Inc. dba Professional Dairy Systems"
16590,STAT Rx USA LLC
16597,"Taiwan Three Mast Pharmaceutical Co., Ltd."
16616,Ar-Ex Laboratories Pvt. Ltd.
16637,"Zhejiang Shenzhou Pharmaceutical Co., Ltd."
16638,Borisovskiy Zavod Medicinskikh Preparatov JSC
16651,Apotex Pharmachem India Pvt. Ltd.
16708,"Bluefield Associates, Inc."
16714,NorthStar RxLLC
16729,Accord Healthcare Inc.
16780,Merck S.A de C.V.
16781,Onset Dermatologics LLC
16817,Laboratorios Pfizer Ltda.
16837,McNeil Consumer Pharmaceuticals Co.
16853,Corporacion Infarmasa
16864,Alterna LLC
16869,"Guizhou Chinese Gallnut Development Co., Ltd"
